time,ET_cap_m3_day,ET_no_cap_m3_day,ET_m3_day
2003-10-01,224021277.1848719,47771018.80173311,5597083000.0
2003-10-02,217122799.96253398,51145862.72576226,5710411000.0
2003-10-03,304817158.3248886,64727714.42738408,5034090000.0
2003-10-04,277457330.98950934,129522573.50392339,5572423000.0
2003-10-05,261548649.81323144,180489689.30446357,5282571300.0
2003-10-06,270706876.72278166,115990185.85680062,4759498000.0
2003-10-07,277196420.34404606,61519292.93688548,4308567600.0
2003-10-08,274918770.7174929,49507205.590399876,3955186200.0
2003-10-09,594472109.1930954,583788202.912213,3759459300.0
2003-10-10,278893408.5421061,273693891.8752736,3488449300.0
2003-10-11,251510807.8683803,214318474.11132693,3698813000.0
2003-10-12,271502805.632704,197934642.34657657,4240484600.0
2003-10-14,227473819.92870775,111640280.51738612,4122300200.0
2003-10-15,203576713.08805093,86908609.41326842,3546487300.0
2003-10-16,268055552.80689633,107887796.88431777,32061000.0
2003-10-17,202467571.02916703,65986744.59608537,35307004.0
2003-10-18,214752241.78501862,63292421.17825295,35897000.0
2003-10-19,244035226.77508894,64400546.55763388,31139002.0
2003-10-20,252362684.52065888,54334961.13407358,31455002.0
2003-10-21,231894382.0691728,43490707.631158195,30520002.0
2003-10-22,224146891.2316126,33323885.127574954,30576004.0
2003-10-23,211194003.01212367,29804333.70272276,27839000.0
2003-10-24,233218242.73318508,26725279.834241677,24791002.0
2003-10-25,158889149.5731935,15765491.387161342,23448000.0
2003-10-26,140239468.19002986,18256615.36389254,18758000.0
2003-10-27,145491362.38750124,18773546.319742132,18758000.0
2003-10-28,133480809.81879462,16853967.87504119,18758000.0
2003-10-29,161020004.92515385,21073707.27060062,20768002.0
2003-10-30,228000227.5901013,22815079.010384243,24566002.0
2003-11-01,190477392.83591962,95959449.79771437,29938004.0
2003-11-02,182390361.3577727,65889187.81264453,25677002.0
2003-11-03,216552933.4431698,65226815.22234387,29280002.0
2003-11-04,194252532.2003896,65551884.91578664,30611002.0
2003-11-05,97647222.67201827,21678933.88515834,22077002.0
2003-11-06,97452551.51226473,33782273.98653133,25892002.0
2003-11-08,69067603.00652745,61812529.53854147,26121002.0
2003-11-09,103665746.7598325,99229235.31772725,608106000.0
2003-11-10,109148295.21654114,97198304.81355514,610361000.0
2003-11-11,143207662.6063186,127696961.80243148,607043000.0
2003-11-12,97205453.63182506,69253423.9858275,504534000.0
2003-11-13,97183173.06398107,55204059.573474616,517001020.0
2003-11-14,266266067.75683153,248968065.58116242,573327000.0
2003-11-15,123401268.41523805,123790549.47985148,564950000.0
2003-11-16,98714295.35279183,97789316.85223734,449378020.0
2003-11-17,279134889.1818797,278765235.5674735,1141370000.0
2003-11-18,124470089.8917861,120192158.07400446,1287664000.0
2003-11-19,107896668.68372953,107823340.89123663,1346819100.0
2003-11-20,130674467.48656182,124568036.52429852,1375219000.0
2003-11-21,107961741.88894546,100290704.78977615,1142016100.0
2003-11-22,83861907.86193958,76483234.90845153,944819000.0
2003-11-23,85279851.87424289,67257308.13910031,1162967000.0
2003-11-24,51718737.82963181,42828894.435606115,1256691000.0
2003-11-25,91078892.77304237,72359924.4921893,22495000.0
2003-11-26,80072576.80106762,67122254.52928835,22225000.0
2003-11-27,62248976.29842399,46305399.62594297,19707002.0
2003-11-28,63516934.52940829,46687902.75583137,21336000.0
2003-11-29,79612404.34006235,56361143.000502415,19361000.0
2003-11-30,95579893.24870849,68418347.32210052,19477002.0
2003-12-01,76191310.90754826,54429450.84145255,17920002.0
2003-12-02,70733154.76447266,46231647.94955587,20587000.0
2003-12-03,74221637.27752617,47631271.24541192,244893000.0
2003-12-04,52200971.940233886,36129823.56878727,237124000.0
2003-12-05,57873274.42160187,35121939.50248999,194740000.0
2003-12-06,39440460.11686074,26057803.896436032,184300020.0
2003-12-07,80462582.5066415,49589388.87777684,181572020.0
2003-12-08,91807015.9565785,55918355.42901266,222892020.0
2003-12-09,45353209.05512813,29740450.87238297,220419000.0
2003-12-10,73894289.34479582,43898226.25308389,200686000.0
2003-12-11,46281448.46084441,26734880.92702951,62086010.0
2003-12-12,85852499.09201469,79865979.58700287,54726004.0
2003-12-13,117684896.51563348,117165865.7214762,70385000.0
2003-12-14,21523855.09042106,23991199.442169607,79157000.0
2003-12-15,69873181.99619377,76010263.678471,76263000.0
2003-12-17,54913644.50188666,59595492.04309436,62335004.0
2003-12-18,62240164.984260224,65876738.41166439,70102010.0
2003-12-19,48897558.34247574,52148759.613643974,3267000.2
2003-12-20,64546666.35562779,67341213.07033019,3480000.2
2003-12-21,84651270.30664515,86087857.68695073,3408000.0
2003-12-22,45120917.1619901,43957239.38944797,2471000.2
2003-12-23,63301649.41373485,63026010.702033415,2648000.2
2003-12-24,48307204.2496063,48295179.62392243,2648000.2
2003-12-25,66281816.763344206,64234917.634555444,2702000.2
2003-12-26,58055565.22815528,53263350.192994036,2084000.0
2003-12-27,100133022.68603285,95976291.79013105,55479004.0
2003-12-28,61670498.67764041,57494140.0154617,61698004.0
2003-12-29,51977143.85007749,49168250.02182609,57556000.0
2003-12-30,70482484.6006766,64376937.802851364,54865004.0
2003-12-31,76441815.43230633,68527497.10032937,71953000.0
2004-01-01,38764597.049373426,32176644.178033516,0.0
2004-01-02,77043155.42395003,64140778.373996235,0.0
2004-01-03,54880326.922542945,43835187.28370524,0.0
2004-01-04,39551889.517357245,34869850.115719765,0.0
2004-01-05,41668790.2350741,37279200.04052869,0.0
2004-01-06,30221320.79993883,26873058.793878898,0.0
2004-01-07,31931274.197912663,27219520.103250325,0.0
2004-01-08,47278016.99753773,39273219.94746864,0.0
2004-01-09,33247028.41269032,27416693.644184716,11396000.0
2004-01-10,33580100.17537611,27235859.640976414,10764000.0
2004-01-11,51942432.49093976,40613962.938931,12762000.0
2004-01-12,52573812.92683436,40970074.54515545,11441000.0
2004-01-13,121418646.45784669,118515367.64126624,11403000.0
2004-01-14,40574428.453795806,35230766.46852484,11996001.0
2004-01-15,45361359.018982545,38405843.421728685,9946001.0
2004-01-16,157368292.34005678,153698570.4239658,10817000.0
2004-01-17,164099009.51091766,158187276.7521618,243757000.0
2004-01-18,212972983.41009223,234265997.8612527,217130000.0
2004-01-19,37463983.50377404,49431614.23554261,264771020.0
2004-01-20,44463112.45496152,56422786.753533594,272900030.0
2004-01-21,43849678.2293768,51560685.32332843,220681010.0
2004-01-22,44659113.1902756,53021587.747209966,307390000.0
2004-01-23,49962573.25350762,59123093.70835933,193330000.0
2004-01-24,27470141.383239463,27285302.74143391,227004020.0
2004-01-25,121622450.17530197,124062532.53111298,1522532100.0
2004-01-26,45057001.1561121,63060119.25471291,1765827100.0
2004-01-27,36616130.04103257,49634167.06962545,1738037100.0
2004-01-28,54254098.88523911,67620189.92182909,1773919000.0
2004-01-29,46993383.07159899,57558295.43142534,1409778200.0
2004-01-30,43769338.276607,59597536.3194894,1624669200.0
2004-01-31,39759280.64749257,49601448.45116735,1329882100.0
2004-02-01,116727962.36811346,118365189.11518954,1140261100.0
2004-02-02,154754273.05187562,165672152.0943286,98836010.0
2004-02-03,36823905.31759127,46458127.233379096,122124010.0
2004-02-04,312366846.5135591,318825112.9904514,84515000.0
2004-02-05,118703546.07384709,124083763.84418492,112734010.0
2004-02-06,29549335.69966603,38330345.672434874,109492010.0
2004-02-07,33477397.09110098,41160799.174616076,94563000.0
2004-02-08,51280008.86940385,63047644.79901471,107849010.0
2004-02-09,48875637.67838207,55230496.06863833,96122000.0
2004-02-10,47571519.11129579,58464100.88585382,1181395000.0
2004-02-11,35833324.87261936,39432277.07516114,1233460000.0
2004-02-13,31373041.811332352,38541895.61125855,1889023000.0
2004-02-14,64035142.91269754,68137302.76021159,1812921100.0
2004-02-15,29957929.203618087,35836646.090729006,1442600100.0
2004-02-16,40441433.24504051,47154379.12483757,1359827000.0
2004-02-17,49376827.701756336,57217823.27707613,1295647000.0
2004-02-18,76521942.94178836,88810456.909309,303734000.0
2004-02-19,105452847.01619916,117850969.57749677,275017020.0
2004-02-20,102664651.32572655,121937814.8376247,233586020.0
2004-02-21,77799239.46026225,91799271.82610786,233439000.0
2004-02-22,110198549.52097419,123811173.26933822,267384000.0
2004-02-23,157092123.78114045,158147793.13700056,197255000.0
2004-02-24,195263826.230869,206830916.93095878,245284020.0
2004-02-25,104779898.21456386,127718583.80311002,229700020.0
2004-02-26,62248433.03038016,74540351.64203112,260710020.0
2004-02-27,93404250.17026475,109254471.09786673,315024000.0
2004-02-28,86210977.67666484,100667126.70216122,338866020.0
2004-02-29,224308926.7756341,231598159.545625,267753020.0
2004-03-01,144241241.0731706,169429656.22349802,282263040.0
2004-03-02,84891771.12774174,98730332.69742444,335439040.0
2004-03-03,371202051.13546747,373571461.4708449,388231040.0
2004-03-04,331801193.36351514,324394063.8249585,393409000.0
2004-03-05,166930752.38711554,170226027.03649315,3512246000.0
2004-03-06,170671800.0003127,175281079.175909,4293232400.0
2004-03-07,129942992.6755117,139943813.0270974,3854987300.0
2004-03-08,147512967.33296588,155663181.8422606,4103714300.0
2004-03-09,135356853.80837843,144327342.4466323,3952839200.0
2004-03-10,162833777.27445945,173166067.01137125,3947798300.0
2004-03-11,135825621.26344472,142238668.74553278,3905845200.0
2004-03-12,111489678.63840258,117364477.17695421,4542734300.0
2004-03-13,237266157.686314,238303537.9230186,1746798000.0
2004-03-14,154835394.2250327,160248340.50748163,1726712000.0
2004-03-15,115147181.8773932,119866716.01657991,1759867000.0
2004-03-16,96818720.94667345,102142929.91806322,1779158000.0
2004-03-17,194892440.87097988,203177763.2844091,1790444200.0
2004-03-18,203916889.39879802,211854669.92480195,1752080300.0
2004-03-19,235080943.11257535,241327077.4162999,1808426000.0
2004-03-20,249126838.3466071,255458251.16849637,2275919000.0
2004-03-21,224894682.04298854,235097529.36326158,1463202200.0
2004-03-23,241680140.2703262,249052420.0475649,1895966100.0
2004-03-24,225321063.7891358,229877562.61401927,1680638000.0
2004-03-25,255688647.28781885,259506019.95430407,1694326100.0
2004-03-26,251712516.36014393,251673039.31574273,1679405000.0
2004-03-27,323839560.7156944,320461066.73760206,1996951000.0
2004-03-28,353739060.0097601,357081892.17327243,1963257100.0
2004-03-29,209421128.8907777,218038531.452547,4593927000.0
2004-03-30,192001928.93770894,198260632.72571152,4126373000.0
2004-03-31,211173457.94974488,217264833.14142346,4601773600.0
2004-04-01,245015389.1905908,249124627.1032934,4545512000.0
2004-04-02,305375944.7391499,302884663.0631475,4309153300.0
2004-04-03,250134844.6164465,242559261.33401915,4494548500.0
2004-04-04,208934786.9952128,198653771.23324853,4029102000.0
2004-04-05,166476615.51873353,157528521.64364636,4084400400.0
2004-04-06,184583109.42924958,173164835.998334,6713216500.0
2004-04-07,309152621.65641636,307031696.8569627,6168839000.0
2004-04-08,288496818.75181645,289926853.61287147,6260461600.0
2004-04-09,335241080.81182,336692639.03574127,6551459000.0
2004-04-10,333210443.0855878,331841408.373142,6757507600.0
2004-04-12,203905336.04087725,206464480.57240504,5911378400.0
2004-04-13,205377710.88031203,206013260.61499977,6087088000.0
2004-04-14,249929317.4049011,245506324.84230152,4893549000.0
2004-04-15,374938455.0252227,357502116.2301036,4843816400.0
2004-04-16,366150580.3351927,333704118.19073,4534489600.0
2004-04-17,406041794.2087998,352526563.3458992,4668415000.0
2004-04-18,391137200.08653593,326275856.411333,4852551700.0
2004-04-19,348034532.6110943,283489796.75662374,5212632000.0
2004-04-21,387889075.44631004,344744962.9338735,5309647400.0
2004-04-22,380238362.1382988,318603757.90228695,5080899600.0
2004-04-23,313065183.0498489,256053399.95064297,4745799700.0
2004-04-24,389475615.61548805,373102150.40987825,5461212000.0
2004-04-25,331903736.53939986,303692644.6822324,5106081000.0
2004-04-26,479712326.2943467,481208142.7749022,5327493000.0
2004-04-27,382081349.58292687,398662743.9214733,5954891000.0
2004-04-28,462208206.709519,474124497.5442368,5753561600.0
2004-04-29,439617865.67108506,442295007.1202295,5664102400.0
2004-04-30,563119889.3967586,569402358.721377,7371510300.0
2004-05-01,439327804.9625481,458375141.77794343,5937162000.0
2004-05-02,342912167.4768883,365475290.64522165,6604548600.0
2004-05-03,348434504.2947324,369505846.844067,7169528300.0
2004-05-04,466734470.11718994,491600295.169698,7067052000.0
2004-05-05,498987409.49937636,519028382.1174178,6816284000.0
2004-05-06,487708191.22007775,501226105.14437634,6868851700.0
2004-05-07,504128295.5880876,502430632.40761495,7526451000.0
2004-05-08,539009526.6700184,520070519.0884345,5323005000.0
2004-05-09,534844649.65156925,494670524.6982527,5345111600.0
2004-05-11,531692101.3395243,454007870.5751514,5021294000.0
2004-05-12,541635169.2516807,439667612.6379551,5369812000.0
2004-05-13,634015515.728675,577470844.7477006,5486638600.0
2004-05-14,388086131.1498421,367636617.0418889,4680321500.0
2004-05-15,362890460.92364866,334551170.02348787,5157731300.0
2004-05-16,460117622.52130234,397205838.7343779,5632724000.0
2004-05-17,546935373.4834867,439713438.1038762,6241576000.0
2004-05-18,530646426.64297926,397683347.1095105,6925559300.0
2004-05-19,540147640.8625829,370139792.07478374,6198480400.0
2004-05-20,539168180.7142282,347406445.5649815,5856523300.0
2004-05-21,564605109.3124548,336945778.9412536,6268340700.0
2004-05-22,569890193.9266942,312675589.6703807,6704770000.0
2004-05-23,494664262.598391,249131121.84156096,6374953000.0
2004-05-24,467798842.37676555,213773218.26760846,3676289300.0
2004-05-25,490807252.1172945,218104906.75293994,3799312100.0
2004-05-26,425013271.9445614,166113903.27486184,3866104000.0
2004-05-27,388316335.36412144,143760023.36345583,3912088300.0
2004-05-28,436299915.4844893,272043229.7047717,4323936000.0
2004-05-29,530739916.8806981,186075965.8036692,4803900400.0
2004-05-30,467803525.1138658,118429714.47387955,4406857700.0
2004-05-31,383329082.45327675,79841914.83244696,4312779300.0
2004-06-01,395642483.77035815,69831230.51574282,6165550600.0
2004-06-02,424982810.31249994,97321002.20861337,6215844000.0
2004-06-03,641644489.6060344,594243372.3977163,7100050400.0
2004-06-04,518806837.18495065,505839226.7286545,6145018400.0
2004-06-05,555508970.4080997,527211580.22541547,6055864300.0
2004-06-06,500081854.524889,419223189.3402121,6209030700.0
2004-06-07,528124554.6617117,366120233.7003957,6150998500.0
2004-06-08,533829204.26745284,337975533.1657463,5998808000.0
2004-06-09,700100340.7536879,663469375.3663034,8074309600.0
2004-06-10,656276474.5132328,702608108.1722983,8409094000.0
2004-06-11,623938488.8255512,673918943.0810308,8313621000.0
2004-06-12,630128766.7213783,653041327.869534,8092859000.0
2004-06-13,588822876.4326531,562740842.2388073,7631052000.0
2004-06-15,523815007.3257165,429866525.58601415,8661996000.0
2004-06-16,484819022.95006526,376013600.59055805,7381997600.0
2004-06-17,472928957.7059454,325042706.3502476,9262053000.0
2004-06-18,496944805.48974776,316233380.8143788,9343114000.0
2004-06-19,622098879.9793112,598266664.9143548,9437537000.0
2004-06-20,471846524.3917083,508731165.64747083,9263844000.0
2004-06-21,633772750.0685191,658057284.6293963,8734056000.0
2004-06-22,672204125.1678478,708744275.5699099,10209595000.0
2004-06-23,484433292.6480015,547893957.0186003,10155066000.0
2004-06-24,461405189.87312996,518503875.39709365,10418111000.0
2004-06-25,566245169.8756018,599513923.3895849,10320375000.0
2004-06-26,535975074.3944671,538708021.043566,9998151000.0
2004-06-27,502827383.2377566,486479364.3132957,10168416000.0
2004-06-28,484226535.4534836,456987728.5388938,10246410000.0
2004-06-30,520330964.3777461,544704792.0012214,9401480000.0
2004-07-01,639662154.2911392,659714909.0376143,9428205000.0
2004-07-02,606399727.8543396,652931836.1256893,10435770000.0
2004-07-03,654897696.247523,713087458.5236927,13106338000.0
2004-07-04,677356768.9877884,743849684.0956184,12741639000.0
2004-07-05,690038837.8305299,744888513.8038503,13663307000.0
2004-07-06,752980352.0391921,786493486.1905283,12467334000.0
2004-07-07,705725126.5038431,752340242.8228154,14327394000.0
2004-07-08,715656907.36603,777928668.2970227,14163804000.0
2004-07-09,708165099.5669594,759335827.0521481,13875905000.0
2004-07-10,658099572.713499,690521576.3600845,13766768000.0
2004-07-12,622448398.0789288,601095943.6645795,9824780000.0
2004-07-13,562728477.1950356,518059383.1586824,8842179000.0
2004-07-14,491890125.64456487,428255289.0772837,9273516000.0
2004-07-15,473091843.38009775,388485463.1946187,9494447000.0
2004-07-16,450805068.1594472,353042567.9513372,9437013000.0
2004-07-17,546662281.675523,418637639.46349365,9117738000.0
2004-07-18,458335061.8623123,336396741.1893106,9694135000.0
2004-07-20,477752742.462979,288288546.1577763,10789710000.0
2004-07-21,491272533.0534996,265552229.90220553,10964202000.0
2004-07-22,492620454.6335318,247022435.2898705,10089071000.0
2004-07-23,506526111.9646751,266550195.67926162,10499001000.0
2004-07-24,581942142.329326,541903127.2271723,10926592000.0
2004-07-25,290784277.4504794,243171013.82500365,11578512000.0
2004-07-26,431864650.8953977,374539378.2795458,9891637000.0
2004-07-27,439170486.20592046,321423566.2632267,9767598000.0
2004-07-28,650720454.5314506,629143215.0672927,9322416000.0
2004-07-29,384585967.9616127,401777803.6231996,9089521000.0
2004-07-30,475675950.7037779,524377506.4115447,9364805000.0
2004-07-31,524828199.2591058,579361872.6662993,9760991000.0
2004-08-01,513088975.581242,548948737.8990533,10301906000.0
2004-08-02,498085859.43882096,499603231.4734844,10249673000.0
2004-08-03,543300007.1482463,509992433.481474,10314000000.0
2004-08-04,595662652.8731498,605786781.4515897,10272250000.0
2004-08-05,577007782.6844356,593725205.0329232,10787424000.0
2004-08-06,548819225.0310731,538147295.2527003,10506709000.0
2004-08-07,396673100.2196519,370581732.1779148,9842712000.0
2004-08-08,533635557.79009825,509898360.9595964,9831772000.0
2004-08-09,463645767.75918084,435056377.13122326,9464623000.0
2004-08-10,449619866.01489484,398997620.4878075,8690284000.0
2004-08-11,653107745.756849,671299754.041663,8925408000.0
2004-08-12,506253914.55835646,554734779.5573094,10395031000.0
2004-08-13,597791074.6632439,635767088.5760993,10656989000.0
2004-08-14,503725528.51892173,545472348.8115634,11079047000.0
2004-08-15,514304391.52019364,542764089.7529078,11375678000.0
2004-08-16,556771665.0873234,601000027.267965,11426443000.0
2004-08-17,508700749.04977494,548699652.9977472,11589701000.0
2004-08-18,548584086.5179037,574993561.9443719,11701941000.0
2004-08-19,511411913.2678978,517922969.6756606,11639086000.0
2004-08-20,477223508.0346797,487719387.7264614,8401341000.0
2004-08-21,437056576.33514637,460425182.87704647,8077999000.0
2004-08-22,552077265.8688577,552401339.7210009,8507385000.0
2004-08-23,608667567.8161298,578083955.8330919,8311822300.0
2004-08-24,597770040.559669,535887430.7961165,8699009000.0
2004-08-25,539412933.1662997,452505733.56032616,7918715400.0
2004-08-26,606455845.0400938,480544313.2297693,7840772600.0
2004-08-27,583182155.428772,433385139.4293193,7537876000.0
2004-08-28,674970302.9763752,676878144.8481228,8804385000.0
2004-08-29,502905521.7329989,544809496.5342424,8404168000.0
2004-08-30,433202667.50444543,465571649.31518096,9544097000.0
2004-08-31,429009883.0831416,452423650.48309153,9260635000.0
2004-09-01,410939022.3729057,409585930.2294495,9492442000.0
2004-09-02,445308847.8007527,404519395.2720416,9455127000.0
2004-09-03,483337359.568464,407155771.5017795,9086985000.0
2004-09-04,501758932.8029535,399970492.01974005,9806326000.0
2004-09-05,502225867.92889726,388749109.6855835,5040051700.0
2004-09-06,530041455.7161466,496850857.4132267,4947514000.0
2004-09-07,395686157.6840914,349300879.3222627,4912239600.0
2004-09-08,350715726.6560967,290776658.1491405,4719347000.0
2004-09-09,313398391.1905935,241972831.10966188,4705914000.0
2004-09-10,323447123.005225,229453517.22709668,4248677000.0
2004-09-11,364487751.4268728,244980731.83447316,4375220000.0
2004-09-12,385339674.4884096,243279537.5495345,4519171600.0
2004-09-13,405088528.8155042,242987333.2057872,1967096000.0
2004-09-14,485246337.66024166,280232798.50951475,2053377000.0
2004-09-16,376898691.4848724,197167718.44225973,2367366100.0
2004-09-17,362201733.62134653,168227495.48264518,2429252400.0
2004-09-18,385848472.0707344,158572555.98664856,2151098400.0
2004-09-19,415761674.9129126,152412537.3829306,2127860000.0
2004-09-20,371637117.3392464,108929254.08784668,2448012300.0
2004-09-21,426554402.1871553,114593626.7296028,3576741400.0
2004-09-22,386314800.2496754,93246396.91243874,3536863200.0
2004-09-23,512264917.03999215,439528630.67105925,3357812000.0
2004-09-24,332416554.1947223,293942179.6222374,3028499000.0
2004-09-25,334868117.49351513,255738616.38967708,3154033200.0
2004-09-26,311819449.1863889,195259824.95528746,3075962400.0
2004-09-27,277246179.08619887,131107390.91069183,3027830000.0
2004-09-28,263328175.65523916,93049436.44191407,2966845200.0
2004-09-29,270535047.89463997,91861439.66242023,1346870100.0
2004-09-30,11310618.066131933,3102697.444495034,1312560000.0
